id_cliente,nombre,apellido,genero,fecha_nacimiento,provincia,segmento_cliente,estado_cliente
CLI007700,Adrián,Solano Madrigal,Masculino,2008-02-03,Alajuela,Premium,Activo
CLI000449,Víctor,Jiménez Salazar,Masculino,1968-04-02,Limón,Estándar,Activo
CLI003706,Daniel,Cordero Cordero,Masculino,1970-02-25,San José,Estándar,Activo
CLI002480,Ana,Jiménez Ureña,Femenino,1996-11-03,Alajuela,Básico,Activo
CLI005471,Rodrigo,Rodríguez Gómez,Masculino,2002-06-04,Cartgago,Joven,Activo
CLI006426,Andrea,Monge Hernández,Femenino,1953-07-14,Cartago,Empresarial,Activo
CLI005112,José,Chacón Alvarado,Masculino,1980-03-08,San José,Estándar,Inactivo
CLI007482,Gabriela,Chacón Gómez,Femenino,1953-08-29,Puntarenas,Premium,Activo
CLI003628,Manuel,Vega Gómez,Masculino,1967-08-17,Alajuela,Básico,Activo
CLI002081,María,Méndez Villalobos,Femenino,1984-09-10,Puntarenas,Básico,Activo
CLI000850,Patricia,Campos Solano,Femenino,1996-04-03,Alajuela,Premium,Activo
CLI000860,Daniel,Carmona Pérez,Masculino,1998-11-12,Heredia,Premium,Activo
CLI005736,Alejandro,González Vargas,Masculino,1969-05-13,Heredia,Joven,Inactivo
CLI007207,Daniel,Araya Villalobos,Masculino,1994-08-14,Limón,Empresarial,Activo
CLI006275,Carlos,Carmona Solano,Masculino,1982-07-17,Alajuela,Empresarial,Activo
CLI006658,Karla,Sánchez Rojas,Femenino,1965-09-23,Alajuela,Básico,Activo
CLI005489,Iván,Alvarado Rojas,Masculino,2000-11-01,Alajuela,Joven,Activo
CLI001986,Lucía,Garro Ramírez,Femenino,1995-02-13,Alajuela,Estándar,Activo
CLI002328,Marcela,Méndez Madrigal,Femenino,2006-10-03,Puntarenas,Premium,Inactivo
CLI002543,Esteban,Sánchez Espinoza,Masculino,1992-12-06,Cartgago,Empresarial,Activo
CLI003627,Catalina,Cordero Mora,Femenino,1988-05-16,Alajuela,Estándar,Activo
CLI000960,Alejandra,Calderón Araya,Femenino,2008-05-02,Heredia,Básico,Activo
CLI000228,Sergio,Campos Solano,Masculino,1953-09-06,Heredia,Premium,Activo
CLI004620,Esteban,Quesada Bolaños,Masculino,1968-06-27,Heredia,Joven,Inactivo
CLI001976,Luis,Rojas Navarro,Masculino,1954-03-19,Limón,Básico,Inactivo
CLI005995,Fernando,Hernández Solano,Masculino,1977-11-23,Limón,Empresarial,Activo
CLI004251,Kevin,Ramírez Chacón,Masculino,2003-09-28,Limón,Estándar,Activo
CLI007494,Carolina,Vargas Hernández,Femenino,1997-02-06,Puntarenas,Empresarial,Activo
CLI002486,Pablo,Navarro González,Masculino,1966-05-19,Cartago,Joven,Activo
CLI000447,Laura,Espinoza Gómez,Femenino,1988-04-15,Heredia,Empresarial,Activo
CLI007621,Gabriela,Rodríguez Monge,Femenino,1989-12-01,Heredia,Joven,Inactivo
CLI007912,Miguel,Hernández Méndez,Masculino,1992-05-02,Guanacaste,Joven,Activo
CLI000762,Juan,Gómez Campos,Masculino,1965-01-03,Alajuela,Estándar,Activo
CLI000722,Javier,Espinoza Quesada,Masculino,1955-06-29,Heredia,Premium,Activo
CLI004900,José,Jiménez Fonseca,Masculino,1993-10-09,Alajuela,Premium,Inactivo
CLI000961,Daniela,Solano Alvarado,Femenino,1980-08-05,Limón,Básico,Activo
CLI007607,Miguel,Espinoza González,Masculino,1969-07-28,Guanacaste,Empresarial,Inactivo
CLI002072,Adrián,Rodríguez Espinoza,Masculino,1966-01-15,Alajuela,Premium,Inactivo
CLI006078,Melissa,Rodríguez Méndez,Femenino,1975-09-18,Limón,Premium,Activo
CLI005114,Eduardo,Pérez Hernández,Masculino,1958-04-22,Guanacaste,Empresarial,Activo
CLI007568,Mónica,González Fonseca,Femenino,2007-05-21,Limón,Joven,Activo
CLI006582,Catalina,Méndez Ureña,Femenino,2003-03-23,Alajuela,Estándar,Activo
CLI003455,Ximena,Jiménez Chacón,Femenino,1996-06-02,San José,Joven,Activo
CLI004133,Lucía,Fonseca Quesada,Femenino,2006-11-11,Alajuela,Joven,Activo
CLI003266,Tatiana,Rojas Alvarado,Femenino,1963-01-26,Heredia,Estándar,Activo
CLI007007,Iván,Mora Pérez,Masculino,2005-12-11,Guanacaste,Empresarial,Activo
CLI002593,Fabiola,Fonseca Monge,Femenino,1980-03-06,Limón,Estándar,Activo
CLI001214,Ximena,Méndez Zúñiga,Femenino,1978-02-17,Alajuela,Estándar,Inactivo
CLI006337,Carolina,Fonseca Monge,Femenino,1997-08-06,Limón,Básico,Activo
CLI003104,Catalina,Rodríguez Solano,Femenino,2007-10-08,Guanacaste,Premium,Activo
CLI001639,Ana,Zúñiga Pérez,Femenino,1968-03-04,Cartago,Joven,Activo
CLI006168,Sergio,Campos Sánchez,Masculino,1965-08-25,Heredia,Joven,Activo
CLI000867,Gerardo,Castro Calderón,Masculino,1961-09-30,Heredia,Empresarial,Activo
CLI005100,Catalina,Garro Sánchez,Femenino,1954-03-11,Limón,Estándar,Activo
CLI001565,Esteban,Ureña Zúñiga,Masculino,1955-05-28,Alajuela,Básico,Activo
CLI000464,Gerardo,Cordero Espinoza,Masculino,1988-10-01,Puntarenas,Estándar,Inactivo
CLI002682,Andrés,Fonseca Bolaños,Masculino,2007-04-14,Puntarenas,Básico,Activo
CLI004477,Ana,Araya Monge,Femenino,1990-08-05,Limón,Joven,Activo
CLI003623,Eduardo,Sánchez Bolaños,Masculino,1991-09-24,Puntarenas,Empresarial,Activo
CLI005472,Lucía,Salazar Araya,Femenino,1961-09-01,Heredia,Empresarial,Activo
CLI001889,Carlos,Ureña Monge,Masculino,1982-11-16,Limón,Estándar,Activo
CLI006564,Andrés,Navarro Chacón,Masculino,1968-01-08,San José,Premium,Activo
CLI005379,Mónica,Fonseca Castro,Femenino,1973-08-06,San José,Joven,Activo
CLI002127,Alejandro,Espinoza Rojas,Masculino,1962-10-12,Puntarenas,Premium,Activo
CLI006867,Kevin,González Ramírez,Masculino,1960-09-27,San José,Premium,Inactivo
CLI000801,Felipe,Garro Pérez,Masculino,1976-03-22,Puntarenas,Joven,Activo
CLI004856,Adriana,Villalobos Calderón,Femenino,1986-06-11,Cartgago,Premium,Activo
CLI007646,Lucía,Araya Jiménez,Femenino,1954-05-24,Puntarenas,Joven,Activo
CLI002395,María,Gómez Campos,Femenino,1973-05-05,Limón,Estándar,Activo
CLI007351,Roberto,Carmona Garro,Masculino,2004-05-16,Alajuela,Premium,Activo
CLI001962,Lucía,Madrigal Campos,Femenino,1967-03-03,Cartago,Básico,Activo
CLI005027,Alejandro,Quesada Rojas,Masculino,1997-12-03,Limón,Joven,Activo
CLI005731,Ana,Garro Araya,Femenino,1965-11-17,ALAJUELA,Premium,Activo
CLI006329,Laura,Méndez Rodríguez,Femenino,1977-01-21,Cartago,Joven,Activo
CLI001925,Mónica,Pérez Sánchez,Femenino,1963-05-16,Cartago,Empresarial,Activo
CLI006463,Melissa,Fonseca Solano,Femenino,1980-11-30,San José,Empresarial,Activo
CLI003074,Tatiana,Cordero Fonseca,Femenino,1955-12-02,Cartago,Empresarial,Inactivo
CLI001852,Miguel,Carmona Mora,Masculino,1951-12-17,Cartago,Empresarial,Activo
CLI003346,Fernando,Araya Ureña,Masculino,1976-12-29,Heredia,Básico,Inactivo
CLI004637,Miguel,Garro González,Masculino,1999-08-01,Limón,Estándar,Activo
CLI003789,Eduardo,Vega Zúñiga,Masculino,1998-12-15,Limón,Joven,Activo
CLI000383,Pablo,Brenes Chacón,Masculino,1971-07-10,Cartago,Joven,Activo
CLI005974,Diego,Salazar Hernández,Masculino,1968-03-01,Guanacaste,Joven,Activo
CLI002238,Fabiola,Brenes Araya,Femenino,2001-07-27,Heredia,Básico,Activo
CLI003284,Iván,Sánchez Salazar,Masculino,1982-10-13,San José,Estándar,Activo
CLI004700,Catalina,Araya Monge,Femenino,1994-05-12,Puntarenas,Estándar,Inactivo
CLI002830,Ricardo,Jiménez Méndez,Masculino,1954-08-11,Puntarenas,Premium,Activo
CLI003977,Patricia,Cordero Alvarado,Femenino,1968-11-26,Cartgago,Empresarial,Activo
CLI007149,Daniela,Mora Jiménez,Femenino,1980-11-19, Puntarenas,Joven,Activo
